"File","Line","Category","Match","Content"
".php","220","franchise-term","naruto","$userrow[""currenttown""] = ""<div id=\""naruto\"">Bem-vindo a(o) "".$townrow[""name""]."".</div>"";"
".php","222","franchise-term","naruto","$userrow[""currenttown""] = ""<div id=\""naruto\"">Voc&ecirc; est&aacute; explorando o mapa.</div>"";"
".php","224","franchise-term","naruto","$userrow[""currenttown""] = ""<div id=\""naruto\"">Voc&ecirc; est&aacute; em uma batalha.</div>"";"
".php","248","possible-untranslated","\bvida\b","if ($stathp >= 66) { $stattable .= ""<div style=\""padding:0px; height:"".$stathp.""px; border-top:solid 1px black; background-image:url(images/barra_vermelho1.gif);\""><img src=\""images/barra_vermelho1.gif\"" title=\""Pontos de Vida\"" alt=\""\"" /></div>""; }"
".php","300","possible-untranslated","\bpersonagem\b","$comandospersonagem = ""<div id=\""comandosdentro\"" style=\""z-index: 3;\""><table border=\""1\"" cellspacing=\""0\"" cellpadding=\""0\"" background=\""images/fundoviajar.png\"" style=\""border:1px #000000 solid\""><tr style=\""border:1px #ffefb7 solid\""><td style=\""border:1px #ffefb7 solid\""><a href=\""troca.php?do=troca\""><img src=\""images/24/troca.gif\"" title=\""Realizar uma Troca\"" border=\""0\""></a></td><td style=\""border:1px #ffefb7 solid\""><a href=\""users.php?do=batalha1\""><img src=\""images/24/duelar.gif\"" title=\""Realizar um Duelo\"" border=\""0\""></a></td><td style=\""border:1px #ffefb7 solid\""><a href=\""encherhp.php\""><img src=\""images/24/descansar.gif\"" title=\""Descansar\"" border=\""0\""></a></td><td style=\""border:1px #ffefb7 solid\""><a href=\""javascript:openchatpopup()\""><img src=\""images/24/conversar.gif\"" title=\""Abrir Chat Global\"" border=\""0\""></a></td><td style=\""border:1px #ffefb7 solid\""><a href=\""javascript: procurarjogador();\""><img src=\""images/24/visualizar.gif\"" title=\""Visualizar um Personagem\"" border=\""0\""></a></td></tr>"";"
".php","318","franchise-term","naruto","$userrow[""townslist""] = ""<center><div style=\""width:179px;background-image:url('images/naruto.jpg');background-repeat:no-repeat; background-position: 1px 1px;\""><table><tr><td><div style=\""padding-right: 11px;padding-left: 15px;padding-bottom: $var; padding-top: 12px;\"" id=\""editar\""><center><table><tr><td height=\""35\"" valign=\""middle\""><center>"".$userrow[""currenttown""].""</center></td></tr></table></center></div></td></tr><tr><td><center><div id=\""cidadesfora\"">$comandospersonagem<div id=\""cidadesdentro\"" style=\""z-index: 2; display: block;\""><table border=\""1\"" cellspacing=\""0\"" cellpadding=\""0\"" background=\""images/fundoviajar.png\"" style=\""border:1px #000000 solid\""><tr style=\""border:1px #000000 solid\""></center>"";"
"0\admin.php","768","franchise-term","jutsu","towns=""$towns"", bancoid1=""$bancoid1"", bancoid2=""$bancoid2"", bancoid3=""$bancoid3"", bancoid4=""$bancoid4"", bancoid5=""$bancoid5"", bancoid6=""$bancoid6"", banconome1=""$banconome1"", banconome2=""$banconome2"", banconome3=""$banconome3"", banconome4=""$banconome4"", banconome5=""$banconome5"", banconome6=""$banconome6"", b2_bancoid1=""$b2_bancoid1"", b2_bancoid2=""$b2_bancoid2"", b2_bancoid3=""$b2_bancoid3"", b2_bancoid4=""$b2_bancoid4"", b2_bancoid5=""$b2_bancoid5"", b2_bancoid6=""$b2_bancoid6"", b2_banconome1=""$b2_banconome1"", b2_banconome2=""$b2_banconome2"", b2_banconome3=""$b2_banconome3"", b2_banconome4=""$b2_banconome4"", b2_banconome5=""$b2_banconome5"", b2_banconome6=""$b2_banconome6"", avatar=""$avatar"", agilidade=""$agilidade"", sorte=""$sorte"", inteligencia=""$inteligencia"", determinacao=""$determinacao"", precisao=""$precisao"", graduacao=""$graduacao"", pontoatributos=""$pontoatributos"", missao=""$missao"", senjutsutimer=""$senjutsutimer"" WHERE id=""$id"" LIMIT 1"
"0\admin.php","768","possible-untranslated","\bmiss[aÃ£]o\b","towns=""$towns"", bancoid1=""$bancoid1"", bancoid2=""$bancoid2"", bancoid3=""$bancoid3"", bancoid4=""$bancoid4"", bancoid5=""$bancoid5"", bancoid6=""$bancoid6"", banconome1=""$banconome1"", banconome2=""$banconome2"", banconome3=""$banconome3"", banconome4=""$banconome4"", banconome5=""$banconome5"", banconome6=""$banconome6"", b2_bancoid1=""$b2_bancoid1"", b2_bancoid2=""$b2_bancoid2"", b2_bancoid3=""$b2_bancoid3"", b2_bancoid4=""$b2_bancoid4"", b2_bancoid5=""$b2_bancoid5"", b2_bancoid6=""$b2_bancoid6"", b2_banconome1=""$b2_banconome1"", b2_banconome2=""$b2_banconome2"", b2_banconome3=""$b2_banconome3"", b2_banconome4=""$b2_banconome4"", b2_banconome5=""$b2_banconome5"", b2_banconome6=""$b2_banconome6"", avatar=""$avatar"", agilidade=""$agilidade"", sorte=""$sorte"", inteligencia=""$inteligencia"", determinacao=""$determinacao"", precisao=""$precisao"", graduacao=""$graduacao"", pontoatributos=""$pontoatributos"", missao=""$missao"", senjutsutimer=""$senjutsutimer"" WHERE id=""$id"" LIMIT 1"
"0\admin.php","768","franchise-term","senjutsu","towns=""$towns"", bancoid1=""$bancoid1"", bancoid2=""$bancoid2"", bancoid3=""$bancoid3"", bancoid4=""$bancoid4"", bancoid5=""$bancoid5"", bancoid6=""$bancoid6"", banconome1=""$banconome1"", banconome2=""$banconome2"", banconome3=""$banconome3"", banconome4=""$banconome4"", banconome5=""$banconome5"", banconome6=""$banconome6"", b2_bancoid1=""$b2_bancoid1"", b2_bancoid2=""$b2_bancoid2"", b2_bancoid3=""$b2_bancoid3"", b2_bancoid4=""$b2_bancoid4"", b2_bancoid5=""$b2_bancoid5"", b2_bancoid6=""$b2_bancoid6"", b2_banconome1=""$b2_banconome1"", b2_banconome2=""$b2_banconome2"", b2_banconome3=""$b2_banconome3"", b2_banconome4=""$b2_banconome4"", b2_banconome5=""$b2_banconome5"", b2_banconome6=""$b2_banconome6"", avatar=""$avatar"", agilidade=""$agilidade"", sorte=""$sorte"", inteligencia=""$inteligencia"", determinacao=""$determinacao"", precisao=""$precisao"", graduacao=""$graduacao"", pontoatributos=""$pontoatributos"", missao=""$missao"", senjutsutimer=""$senjutsutimer"" WHERE id=""$id"" LIMIT 1"
"0\admin.php","912","possible-untranslated","\bjogador\b","<tr><td width=""20%"">Miss�o que o Jogador Est� (N�mero):</td><td><input type=""text"" name=""missao"" size=""50"" maxlength=""50"" value=""{{missao}}"" /></td></tr>"
